"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Strider,Large,Elemental,,Unaligned,1,,,,,,,,,,,,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,137,,,Snow Spider,Large,Beast,Spider,Unaligned,3,,,,,,,,ø,,,,,,,,,,,,Monster a Day Compendium 2.0,191,,,,,,,,,,,
Giant Strider,Large,Monstrosity,,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,222,,,Spellskite,Large,Construct,,Unaligned,5,,,,,,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,192,,,,,,,,,,,
Giant Subterranean Lizard,Huge,Beast,,Unaligned,4,,,,,,,,,,,,,,,,ø,,,,Tales from the Yawning Portal,236,,,Spider Skull,Tiny,Undead,,Neutral Evil,1/2,,,,,,,,,,,,,,,,ø,,,,Monster a Day Compendium 2.0,193,,,,,,,,,,,
Giant Toad,Large,Beast,,Unaligned,1,,,,,,,,,x,x,x,,,,x,x,,,,Monster Manual,329,,,Spirit,Medium,Undead,,Any,1/2,,,,,,,,,,,,,,,,ø,,ø,,Monster a Day Compendium 2.0,194,,,,,,,,,,,
Giant Vampire Bat,Large,Beast,,Unaligned,2,,,,,,,,,,,x,x,,x,,x,,,,Creature Codex,50,,,Stahnk (Undead Beast),Huge,Undead,,Neutral Evil,7,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,,,,,Monster a Day Compendium 2.0,195,,,,,,,,,,,
Giant Vulture,Large,Beast,,Neutral Evil,1,,,,,,,,,,x,,x,,,,,,,,Monster Manual,329,,,Star Vampire,Large,Aberration,,Chaotic Evil,4,,,,,,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,196,,,,,,,,,,,
Giant Walrus,Huge,Beast,,Unaligned,4,,,,,,,,ø,ø,,,,,,,,ø,,,Icewind Dale: Rime of the Frostmaiden,312,,,Stone Strix,Huge,Monstrosity,,Unaligned,8,,,,,,,,,,,ø,,ø,ø,,,,,,Monster a Day Compendium 2.0,197,,,,,,,,,,,
Giant Wasp,Medium,Beast,,Unaligned,1/2,,,,,,,,,,,x,x,,,,,,,,Monster Manual,329,,,Swarm of Squirrels,Medium,Beast,Swarm,Unaligned,2,,,,,,,,,,,ø,,,,,,,,,Monster a Day Compendium 2.0,198,,,,,,,,,,,
Giant Water Beetle,Medium,Beast,Aquatic,Unaligned,1/2,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,25,,,Sylvan Stalker,Medium,Plant,,Neutral,8,,,,,,,,,,,ø,,,,,,,,,Monster a Day Compendium 2.0,199,,,,,,,,,,,
Giant Water Scorpion,Large,Beast,,Unaligned,4,,,,,,,,,x,,,,,,x,,,,,Tome of Beasts 2,393,,,Baby Tanglewyrm,Large,Beast,Wyrm,Unaligned,6,,,,,,,,,,,,,,ø,,ø,,,,Monster a Day Compendium 2.0,200,,,,,,,,,,,
Giant Weasel,Medium,Beast,,Unaligned,1/8,,,,,,,,,,,x,x,x,,,,,,,Monster Manual,329,,,Bellowing Tanglewyrm,Huge,Beast,Wyrm,Unaligned,15,,,,,,,,,,,,,,ø,,ø,,,,Monster a Day Compendium 2.0,200,,,,,,,,,,,
Giant Wolf Spider,Medium,Beast,Spider,Unaligned,1/4,,,,,,,,,x,x,x,x,x,,,,,,,Monster Manual,330,,,Technothug,Medium,Humanoid,,Chaotic Neutral,1/2,,,,,,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,201,,,,,,,,,,,
Giat Snapping Turtle,Large,Beast,,Unaligned,3,,,,,,,,,ø,,,,,,,,ø,,,Tomb of Annihilation,222,,,Tentaghoul,Large,Undead,,Chaotic Evil,3,,,,,,,,,,,,,,,ø,ø,,,ø,Monster a Day Compendium 2.0,202,,,,,,,,,,,
Gibbering Mouther,Medium,Aberration,,Neutral,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,157,,,Bog Troll,Large,Giant,,Chaotic Evil,5,,,,,,,,,,,,,,,ø,,,,,Monster a Day Compendium 2.0,203,,,,,,,,,,,
Gibberling,Small,Aberration,,Chaotic Neutral,1/4,,,,,,,,,ø,,ø,ø,ø,ø,ø,,,,ø,Minsc and Boo's Journal of Villainy,141,,,Bridge Troll,Large,Giant,,Chaotic Evil,4,,,,,,,,,,,,,ø,,,,,,,Monster a Day Compendium 2.0,204,,,,,,,,,,,
Giff,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,138,Mordenkainen's Tome of Foes 204,,Deep Troll,Large,Giant,,Chaotic Evil,5,,x,,,,,,,,,,,,,,ø,,,,Monster a Day Compendium 2.0,205,,,,,,,,,,,
Gilded Devil,Medium,Fiend,Devil,Lawful Neutral,7,,x,,,,,,,,,,,,,,,,,ø,Tome of Beasts,106,,,Ice Troll,Large,Giant,,Chaotic Evil,6,,,,,,,,ø,,,,,,,,,,,,Monster a Day Compendium 2.0,206,,,,,,,,,,,
Gill-man,Medium,Monstrosity,,Neutral,6,,,,,,,,,,,,,,,ø,,ø,,,Monster a Day Compendium 2.0,61,,,Mutant Troll,Large,Giant,,Chaotic Evil,6,,,,,,,,,,,,,,,ø,ø,,,,Monster a Day Compendium 2.0,207,,,,,,,,,,,
Gillmonkey,Small,Beast,Aquatic,Chaotic Evil,1/4,,,,,,,,,x,,,,,,,,x,,,Fifth Edition Foes,121,,,Mutant Troll,Large,Giant,,Chaotic Evil,7,,,,,,,,,,,,,,,ø,ø,,,,Monster a Day Compendium 2.0,207,,,,,,,,,,,
Gingwatzim,Small,Aberration,Shapechanger,Not Provided,2,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,,ø,,Candlekeep Mysteries,27,,,Nightmare Troll,Large,Fiend,,Neutral Evil,7,,,,,,,,,,,,,,,,ø,,,ø,Monster a Day Compendium 2.0,208,,,,,,,,,,,
Ginormous Squirrel,Gargantuan,Beast,,Unaligned,16,,,x,,,,,,,,ø,,,,,,,,,Monster a Day Compendium 2.0,62,,,Rock Troll,Large,Giant,,Chaotic Evil,5,,,,,,,,,,,,,,ø,,,,,,Monster a Day Compendium 2.0,209,,,,,,,,,,,
Girallon,Large,Monstrosity,,Unaligned,4,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,139,"Volo's Guide to Monsters 152, Tomb of Annihilation 222",,Shadow Troll,Large,Giant,,Chaotic Evil,7,,,,,,,,,,,,,,,,ø,,,ø,Monster a Day Compendium 2.0,210,,,,,,,,,,,
Girallon Zombie,Large,Undead,,Chaotic Evil,3,,,,,,,,,,,,,,,ø,ø,,,,Tomb of Annihilation,240,Infernal Machine Rebuild 66,,Troll Boar,Large,Monstrosity,,Chaotic Evil,3,,,,,,,,,,,ø,,,,,,,,,Monster a Day Compendium 2.0,211,,,,,,,,,,,
"Gishath, Sun's Avatar",Gargantuan,Beast,,Unaligned,10,,,x,,x,,,,ø,,ø,,,,,,,,,Planeshift: Ixalan,32,,,Venom Troll,Large,Giant,,Chaotic Evil,5,,,,,,,,,,,,,,,ø,ø,,,,Monster a Day Compendium 2.0,212,,,,,,,,,,,
Githyanki Anarch,Medium,Humanoid,Gith,Lawful Neutral,16,,x,x,x,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,207,,,War Troll,Large,Giant,,Chaotic Evil,9,,,,,,,,,ø,ø,,ø,,,,,,,,Monster a Day Compendium 2.0,213,,,,,,,,,,,
Githyanki Enlightened,Medium,Humanoid,Gith,Lawful Neutral,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,208,,,Web Troll,Large,Giant,,Chaotic Evil,3,,,,,,,,,,,ø,,,,,ø,,,,Monster a Day Compendium 2.0,214,,,,,,,,,,,
Githyanki Gish,Medium,Humanoid,"gith, wizard",Any,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,140,,,Zombie Troll,Large,Undead,,Chaotic Evil,5,,,,,,,,,,,,,,,ø,ø,,,,Monster a Day Compendium 2.0,215,,,,,,,,,,,
Githyanki Gish,Medium,Humanoid,Gith,Lawful Neutral,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,205,Waterdeep: Dungeon of the Mad Mage 312,,Truesong Dancer,Medium,Humanoid,Any Race,Chaotic Neutral,3,,,,,,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,216,,,,,,,,,,,
Githyanki Kith'rak,Medium,Humanoid,gith,Any,12,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,140,,,Truesong Dirge,Medium,Humanoid,Any Race,Chaotic Neutral,5,,,,,,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,216,,,,,,,,,,,
Githyanki Kith'rak,Medium,Humanoid,Gith,Lawful Neutral,12,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,205,,,Tusk Giant,Large,Giant,,Chaotic Evil,4,,,,,,,,ø,,,,,ø,ø,,,,,,Monster a Day Compendium 2.0,217,,,,,,,,,,,
Githyanki Knight,Medium,Humanoid,Gith,Lawful Neutral,8,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,160,,,Tuskaloth,Gargantuan,Beast,,Unaligned,10,,,,,,,,ø,,,,,,,,,,,,Monster a Day Compendium 2.0,218,,,,,,,,,,,
Githyanki Supreme Commander,Medium,Humanoid,gith,Any,14,,x,x,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,141,,,"Ulamog, the Ceaseless Hunger",Gargantuan,Aberration,Titan,Chaotic Evil,30,,x,x,,x,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,219,,,,,,,,,,,
Githyanki Supreme Commander,Medium,Humanoid,Gith,Lawful Neutral,14,,x,x,,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,206,,,Ultralisk,Gargantuan,Monstrosity,,Unaligned,23,,,x,,,,,,,,,,,ø,,ø,,,,Monster a Day Compendium 2.0,220,,,,,,,,,,,
Githyanki Warrior,Medium,Humanoid,Gith,Lawful Neutral,3,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,160,,,Undead Sharkenbear,Huge,Undead,,Unaligned,5,,,,,,,,,,,ø,,ø,,,,ø,,,Monster a Day Compendium 2.0,221,,,,,,,,,,,
Githzerai Anarch,Medium,Humanoid,gith,Any,16,,x,x,x,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,142,,,Undead Warchief,Large,Undead,,Lawful Neutral,12,,,,,,,,,,,,,,,,ø,,ø,,Monster a Day Compendium 2.0,222,,,,,,,,,,,
Githzerai Enlightened,Medium,Humanoid,gith,Any,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,143,,,Verdalin,Small,Fey,,Neutral,1/2,,x,,,,,,,,,ø,ø,,,,,,,,Monster a Day Compendium 2.0,223,,,,,,,,,,,
Githzerai Monk,Medium,Humanoid,Gith,Lawful Neutral,2,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,161,,,Vine Terror,Large,Plant,,Unaligned,3,,,,,,,,,,,ø,,,,,,,,,Monster a Day Compendium 2.0,224,,,,,,,,,,,
Githzerai Zerth,Medium,Humanoid,Gith,Lawful Neutral,6,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,161,,,Vodyanoy,Medium,Monstrosity,,Chaotic Neutral,5,,x,,,,,,,,,ø,,,,ø,,,,,Monster a Day Compendium 2.0,225,,,,,,,,,,,
Glabrezu,Large,Fiend,Demon,Chaotic Evil,9,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,58,,,War Titan,Huge,Fiend,Titan,Any Chaotic,16,,,x,,,,,,ø,ø,,ø,,,,,,,,Monster a Day Compendium 2.0,226,,,,,,,,,,,
Glacial Corruptor,Medium,Undead,,Lawful Evil,1,,,,,,,,x,,,,,,x,,,,,,Tome of Beasts 2,176,,,Werewolf Alpha,Medium,Humanoid,"Shapechanger, Human",Chaotic Evil,9,,,x,,,,,,,,ø,,ø,,,,,,,Monster a Day Compendium 2.0,227,,,,,,,,,,,
Glacial Ooze,Large,Ooze,,Unaligned,1,,,,,,,,x,,,,,,x,,,,,,Fifth Edition Foes,178,,,Wight Walker,Medium,Undead,,Neutral Evil,6,,,,,,,,,,ø,,,,,ø,ø,,ø,,Monster a Day Compendium 2.0,228,,,,,,,,,,,
Glacier Behemoth,Huge,Beast,,Unaligned,12,,,,,,,,x,,,,,,,,,,,,Tome of Beasts 2,177,,,Winged Ape,Medium,Monstrosity,,Neutral,2,,,,,,,,,,,,,,ø,,,,,,Monster a Day Compendium 2.0,229,,,,,,,,,,,
Gladeborn Hunter,Medium,Humanoid,Any Race,Neutral,5,,,,,,,,,,,ø,ø,,,,,,ø,,Monster a Day Compendium 2.0,63,,,Winter Sprite,Tiny,Fey,,Neutral,1,,x,,,,,,ø,,,,,,,,,,,,Monster a Day Compendium 2.0,230,,,,,,,,,,,
Gladeborn Trapper,Medium,Humanoid,Any Race,Neutral,3,,,,,,,,,,,ø,ø,,,,,,ø,,Monster a Day Compendium 2.0,63,,,Zaiden,Medium,Fiend,Gnoll,Chaotic Evil,16,,x,x,,x,,,,,ø,ø,ø,ø,,,,,,,Monster a Day Compendium 2.0,231,,,,,,,,,,,
Gladiator,Medium,Humanoid,Any Race,Any,5,,,,,,,,,,,,,,,,,,x,,Monster Manual,346,Rise of Tiamat Online Supplement 16,,Zergling,Small,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,,,ø,,ø,,,,Monster a Day Compendium 2.0,232,,,,,,,,,,,
Glass Gator,Large,Beast,,Unaligned,1,,,,,,,,,ø,,,,,,ø,ø,ø,,,Tome of Beasts,228,,,Aarakocra,Medium,Humanoid,Aarakocra,Neutral Good,1/4,,,,,,,,,,,,,,x,,,,,,Monster Manual,12,,,,,,,,,,,
Glass Golem,Small,Construct,,Unaligned,2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,200,,,Aboleth,Large,Aberration,,Lawful Neutral,10,,,x,x,,,,,,,,,,,,x,,,,Monster Manual,13,,,,,,,,,,,
Glasswork Golem,Medium,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,193,,,Deva,Medium,Celestial,,Lawful Good,10,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,16,,,,,,,,,,,
Gloamwing,Large,Undead,,Neutral Evil,8,,,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,215,,,Planetar,Large,Celestial,,Lawful Good,16,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,17,,,,,,,,,,,
Gloom Crawler,Huge,Monstrosity,,Neutral,10,,,,,,,,,,,x,x,x,,,x,,,,Fifth Edition Foes,122,,,Solar,Large,Celestial,,Lawful Good,21,,x,x,,,,,,,,,,,,,,,,ø,Monster Manual,18,,,,,,,,,,,
Gloom Flower,Tiny,Plant,,Unaligned,3,,,,,,,,,,,,,,,,,,,x,Creature Codex,188,,,Animated Armor,Medium,Construct,,Unaligned,1,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,Monster Manual,19,Rise of Tiamat Online Supplement 7,,,,,,,,,,
Gloom Weaver,Medium,Humanoid,"Elf, Shadar-Kai",Neutral,9,,x,,,,,,,,,,,,,,x,,x,,Mordenkainen's Tome of Foes,224,,,Flying Sword,Small,Construct,,Unaligned,1/4,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,Monster Manual,20,,,,,,,,,,,
Gloomstalker,Large,Monstrosity,,Neutral Evil,6,,,,,,,,,,,,,,,,ø,,,x,Explorer's Guide to Wildemount,291,,,Rug of Smothering,Large,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,ø,,Monster Manual,20,,,,,,,,,,,
Glory,Large,Fiend,,Neutral Evil,15,,,,,x,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,127,,,Ankheg,Large,Monstrosity,,Unaligned,2,,,,,,,,,,,x,x,,,,,,,,Monster Manual,21,,,,,,,,,,,
Gnarljak,Small,Construct,,Unaligned,6,,,,,,,,,,,,,,,,,,,,Tome of Beasts,229,,,Azer,Medium,Elemental,,Lawful Neutral,2,,,,,,,,,,,,,,,,,,,ø,Monster Manual,22,,,,,,,,,,,
Gnarlwood,Huge,Plant,,Neutral Evil,8,,x,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,123,,,Banshee,Medium,Undead,,Chaotic Evil,4,,,,,,,,,x,,x,,,,,,,,,Monster Manual,23,,,,,,,,,,,
Gnoll,Medium,Humanoid,Gnoll,Chaotic Evil,1/2,,,,,,,,,,x,x,x,x,,,,,,,Monster Manual,163,,,Basilisk,Medium,Monstrosity,,Unaligned,3,,,,,,,,,,,,,,x,,,,,,Monster Manual,24,,,,,,,,,,,
Gnoll Deathknight,Medium,Humanoid,Gnoll,Chaotic Evil,6,,,,,,,,,,ø,ø,ø,ø,,,,,,,Monster a Day Compendium 2.0,64,,,Behir,Huge,Monstrosity,,Neutral Evil,11,,,,,,,,,,,,,,,,x,,,,Monster Manual,25,,,,,,,,,,,
Gnoll Deathmage,Medium,Humanoid,Gnoll,Chaotic Evil,7,,x,,,,,,,,ø,ø,ø,ø,,,,,,,Monster a Day Compendium 2.0,65,,,Beholder,Large,Aberration,Beholder,Lawful Neutral,13,,,x,,,,,,,,,,,,,x,,,,Monster Manual,28,,,,,,,,,,,
Gnoll Fang of Yeenoghu,Medium,Fiend,Gnoll,Chaotic Evil,4,,,,,,,,,,x,x,x,x,,,,,,,Monster Manual,163,,,Beholder (in lair),Large,Aberration,Beholder,Lawful Neutral,14,,,x,x,,,,,,,,,,,,x,,,,Monster Manual,28,,,,,,,,,,,
Gnoll Flesh Gnawer,Medium,Monstrosity,,Chaotic Evil,1,,,,,,,,x,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,144,,,Death Tyrant,Large,Undead,Beholder,Lawful Neutral,14,,,x,,,,,,,,,,,,,x,,,,Monster Manual,29,,,,,,,,,,,
Gnoll Flesh Gnawer,Medium,Humanoid,Gnoll,Chaotic Evil,1,,,,,,,,x,,,x,x,x,,,,,,,Volo's Guide to Monsters,154,,,Death Tyrant (in lair),Large,Undead,,Lawful Neutral,15,,,x,x,,,,,,,,,,,,x,,,,Monster Manual,29,,,,,,,,,,,
Gnoll Havoc Runner,Medium,Humanoid,Gnoll,Chaotic Evil,3,,,,,,,,,,ø,ø,ø,ø,,,,,,,Tome of Beasts,230,,,Spectator,Medium,Aberration,Beholder,Lawful Neutral,3,,,,,,,,,,,,,,,,ø,,ø,,Monster Manual,30,"Lost Mines of Phandelver 62, The Lost Dungeon of Rickedness: Big Rick Energy 42",,,,,,,,,,
Gnoll Hunter,Medium,Monstrosity,,Chaotic Evil,1/2,,,,,,,,x,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,144,,,Needle Blight,Medium,Plant,,Neutral Evil,1/4,,,,,,,,,,,x,,,,,,,,,Monster Manual,32,,,,,,,,,,,
Gnoll Hunter,Medium,Humanoid,Gnoll,Chaotic Evil,1/2,,,,,,,,x,,,x,x,x,,,,,,,Volo's Guide to Monsters,154,,,Twig Blight,Small,Plant,,Neutral Evil,1/8,,,,,,,,,,,x,,,,,,,,,Monster Manual,32,"Lost Mines of Phandelver 63, The Lost Dungeon of Rickedness: Big Rick Energy 43",,,,,,,,,,
Gnoll Pack Lord,Medium,Humanoid,Gnoll,Chaotic Evil,2,,,,,,,,,,x,x,x,x,,,,,,,Monster Manual,163,,,Vine Blight,Medium,Plant,,Neutral Evil,1/2,,,,,,,,,,,x,,,,,,,,,Monster Manual,32,,,,,,,,,,,
Gnoll Slaver,Medium,Humanoid,Gnoll,Chaotic Evil,3,,,,,,,,,,,,x,,,,,,x,,Creature Codex,189,,,Bugbear,Medium,Humanoid,Goblinoid,Chaotic Evil,1,,,,,,,,,,,x,x,,,,x,,,,Monster Manual,33,"Lost Mines of Phandelver 56, The Lost Dungeon of Rickedness: Big Rick Energy 36",,,,,,,,,,
Gnoll Vampire,Medium,Undead,Shapechanger,Chaotic Evil,8,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,290,,,Bugbear Chief,Medium,Humanoid,Goblinoid,Chaotic Evil,3,,,,,,,,,,,x,x,,,,x,,,,Monster Manual,33,,,,,,,,,,,
Gnoll Witherling,Medium,Undead,,Chaotic Evil,1/4,,,,,,,,x,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,145,,,Bulette,Large,Monstrosity,,Unaligned,5,,,,,,,,,,,,x,x,x,,,,,,Monster Manual,34,,,,,,,,,,,
Gnoll Witherling,Medium,Undead,Gnoll,Chaotic Evil,1/4,,,,,,,,x,,,x,x,x,,x,x,,x,,Volo's Guide to Monsters,155,,,Bullywug,Medium,Humanoid,Bullywug,Neutral Evil,1/4,,,,,,,,,,,,,,,x,,,,,Monster Manual,35,,,,,,,,,,,
Gnome Ceremorph,Small,Aberration,,Any,5,,x,,,,,,,,,,,,,,,,,ø,Icewind Dale: Rime of the Frostmaiden,303,,,Cambion,Medium,Fiend,,Any Evil,5,,,,,,,,,,,,,,,,,,x,,Monster Manual,36,,,,,,,,,,,
Gnome Squidling,Small,Aberration,,Unaligned,1/2,,x,,,,,,,,,,,,,,,,,ø,Icewind Dale: Rime of the Frostmaiden,303,,,Carrion Crawler,Large,Monstrosity,,Unaligned,2,,x,,,,,,,,,,,,,,x,,,,Monster Manual,37,,,,,,,,,,,
Gnomish Knife Cultist,Small,Humanoid,Gnome,Chaotic Evil,5,,x,,,,,,,,,,x,,,,,,x,,Creature Codex,402,,,Centaur,Large,Monstrosity,,Neutral Good,2,,,,,,,,,,,x,x,,,,,,,,Monster Manual,38,,,,,,,,,,,
Gnoph-Keh,Large,Monstrosity,,Neutral Evil,11,,,,,,,,x,,,,,,,,,,,,Sandy Petersen's Cthulhu Mythos,329,,,Half-ogre,Large,Giant,,Any Chaotic,1,,,,,,,,x,,x,x,,x,x,,x,,x,,Monster Manual,38,,,,,,,,,,,
Gnorri Hunter,Large,Monstrosity,,Neutral,1/2,,,,,,,,,x,,,,,,,,x,,,Sandy Petersen's Cthulhu Mythos,330,,,Chimera,Large,Monstrosity,,Chaotic Evil,6,,,,,,,,,,,,x,x,x,,x,,,,Monster Manual,39,Rise of Tiamat Online Supplement 9,,,,,,,,,,
Goat,Medium,Beast,,Unaligned,0,,,,,,,,,,,,x,x,x,,,,x,,Monster Manual,330,,,Chuul,Large,Aberration,,Chaotic Evil,4,,,,,,,,,,,,,,,,x,,,,Monster Manual,40,Rise of Tiamat Online Supplement 10,,,,,,,,,,
Goat-Knight Steed,Large,Celestial,,Unaligned,1/2,,,,,,,,,,,,,,ø,,,,,,Tal'Dorei Campaign Setting,135,,,Cloaker,Large,Aberration,,Chaotic Neutral,8,,,,,,,,,,,,,,,,x,,,,Monster Manual,41,,,,,,,,,,,
Goat-Man,Medium,Monstrosity,,Chaotic Evil,3,,,,,,,,,,,,ø,ø,ø,,,,ø,,Tome of Beasts,231,,,Cockatrice,Small,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,x,,,,,,,,Monster Manual,42,,,,,,,,,,,
Goblin,Small,Humanoid,Goblinoid,Neutral Evil,1/4,,,,,,,,,,,x,x,x,,,x,,,,Monster Manual,166,"Lost Mines of Phandelver 58, The Lost Dungeon of Rickedness: Big Rick Energy 39",,Couatl,Medium,Celestial,,Lawful Good,4,,x,,,,,,,,x,x,x,,,,,,x,,Monster Manual,43,,,,,,,,,,,
Goblin Alchemist,Small,Humanoid,Goblinoid,Neutral Evil,1/2,,,,,,,,,,,ø,ø,ø,,,ø,,,,Monster a Day Compendium 2.0,66,,,Crawling Claw,Tiny,Undead,,Neutral Evil,0,,,,,,ø,,,,,,,,,,,,ø,,Monster Manual,44,,,,,,,,,,,
Goblin Boss,Small,Humanoid,Goblinoid,Neutral Evil,1,,,,,,,,,,,x,x,x,,,x,,,,Monster Manual,166,,,Cyclops,Huge,Giant,,Chaotic Neutral,6,,,,,,,,,x,x,,x,x,x,,x,,,,Monster Manual,45,Rise of Tiamat Online Supplement 11,,,,,,,,,,
Goblin Ritualist,Small,Humanoid,Goblinoid,Neutral Evil,1/2,,x,,,,,,,,,ø,ø,ø,,,ø,,,,Monster a Day Compendium 2.0,66,,,Barlgura,Large,Fiend,Demon,Chaotic Evil,5,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,46,,,,,,,,,,,
Gohl (Hydra Cloud),Large,Aberration,,Chaotic Evil,8,,,,,,,,,,,,,,,,x,,,x,Fifth Edition Foes,124,,,Darkmantle,Small,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,46,,,,,,,,,,,
Gold Dragon Wyrmling,Medium,Dragon,,Lawful Good,3,,,,,,,,,,,x,x,,,,,,,,Monster Manual,115,,,Death Knight,Medium,Undead,,Chaotic Evil,17,,x,,,,,,,,,,,,,,,,ø,,Monster Manual,47,,,,,,,,,,,
Gold-Forged Sentinel,Large,Construct,,Unaligned,5,,,,,,,,,,,,,,x,,,,ø,,Mythic Odysseys of Theros,211,,,Demilich,Tiny,Undead,,Neutral Evil,18,,,x,,,,,,,,,,,,,ø,,,,Monster Manual,48,,,,,,,,,,,
Golden Cat,Tiny,Beast,,Unaligned,0,,,,,,,,,x,,x,x,x,,,,,x,,Fifth Edition Foes,125,,,Demilich (in lair),Tiny,Undead,,Neutral Evil,20,,,x,x,,,,,,,,,,,,ø,,,,Monster Manual,48,,,,,,,,,,,
Golgari Shaman,Medium,Humanoid,Elf,Neutral Evil,5,,x,,,,,,,,,,,,,ø,ø,,ø,,Guildmaster's Guide to Ravnica,236,,,Balor,Huge,Fiend,Demon,Chaotic Evil,19,,,,,,,,,,,,,,,,,,,ø,Monster Manual,55,Infernal Machine Rebuild 60,,,,,,,,,,
Goliath Longlegs,Gargantuan,Monstrosity,,Unaligned,7,,,,,,,,,,,x,,,,,,,,,Creature Codex,206,,,Chasme,Large,Fiend,Demon,Chaotic Evil,6,,,,,,,,,,,,,,,,,,,ø,Monster Manual,57,,,,,,,,,,,
Goliath Warrior,Medium,Humanoid,Goliath,Any,3,,,,,,,,ø,,,,,,x,,,,,,Icewind Dale: Rime of the Frostmaiden,292,,,Dretch,Small,Fiend,Demon,Chaotic Evil,1/4,,,,,,,,,,,,,,,,,,,ø,Monster Manual,57,,,,,,,,,,,
Goliath Werebear,Medium,Humanoid,"Goliath, shapechanger",Neutral Good,8,,,,,,,,ø,,,,,,x,,,,,,Icewind Dale: Rime of the Frostmaiden,293,,,Glabrezu,Large,Fiend,Demon,Chaotic Evil,9,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,58,,,,,,,,,,,
Gorao-Ka,Tiny,Fey,Kami,Neutral Good,1/8,,,,,,,,,,,,x,,,,,,x,,Tome of Beasts 2,221,,,Goristro,Huge,Fiend,Demon,Chaotic Evil,17,,,,,,,,,,,,,,,,,,,ø,Monster Manual,59,,,,,,,,,,,
Gorbel,Small,Aberration,,Neutral,1/4,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,130,,,Hezrou,Large,Fiend,Demon,Chaotic Evil,8,,,,,,,,,,,,,,,,,,,ø,Monster Manual,60,,,,,,,,,,,
